none[0.9611]  arg1_node[0.0364]  arg2_node[0.0025]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9964]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9964]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9964]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9964]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9964]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9964]  arg1_node[0.0009]  arg2_node[0.0026]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9964]  arg1_node[0.0009]  arg2_node[0.0026]  none
none[0.9866]  arg1_node[0.0109]  arg2_node[0.0026]  none
none[0.9707]  arg1_node[0.0286]  arg2_node[0.0007]  none
none[0.1900]  arg1_node[0.6263]  arg2_node[0.1838]  arg1_node
none[0.8136]  arg1_node[0.1829]  arg2_node[0.0034]  none
none[0.9964]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9962]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9964]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9964]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.1884]  arg1_node[0.0272]  arg2_node[0.7843]  arg2_node
none[0.9727]  arg1_node[0.0096]  arg2_node[0.0177]  none
none[0.9885]  arg1_node[0.0000]  arg2_node[0.0114]  none
none[0.9885]  arg1_node[0.0000]  arg2_node[0.0114]  none
none[0.9885]  arg1_node[0.0000]  arg2_node[0.0115]  none
none[0.9885]  arg1_node[0.0000]  arg2_node[0.0115]  none
none[0.9885]  arg1_node[0.0000]  arg2_node[0.0115]  none
none[0.9885]  arg1_node[0.0000]  arg2_node[0.0114]  none
none[0.1184]  arg1_node[0.8816]  arg2_node[0.0001]  arg1_node
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9782]  arg1_node[0.0215]  arg2_node[0.0003]  none
none[0.9799]  arg1_node[0.0199]  arg2_node[0.0003]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9796]  arg1_node[0.0201]  arg2_node[0.0003]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9808]  arg1_node[0.0189]  arg2_node[0.0003]  none
none[0.9598]  arg1_node[0.0000]  arg2_node[0.0401]  none
none[0.0865]  arg1_node[0.0018]  arg2_node[0.9117]  arg2_node
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0024]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0024]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0024]  none
none[0.4425]  arg1_node[0.5549]  arg2_node[0.0026]  arg1_node
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9006]  arg1_node[0.0983]  arg2_node[0.0011]  none
none[0.9688]  arg1_node[0.0290]  arg2_node[0.0022]  none
none[0.9954]  arg1_node[0.0041]  arg2_node[0.0006]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9990]  arg1_node[0.0001]  arg2_node[0.0009]  none
none[0.0716]  arg1_node[0.0003]  arg2_node[0.9280]  arg2_node
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9682]  arg1_node[0.0001]  arg2_node[0.0317]  none
none[0.9988]  arg1_node[0.0001]  arg2_node[0.0011]  none
