none[0.4438]  arg1_node[0.5554]  arg2_node[0.0008]  arg1_node
none[0.2773]  arg1_node[0.7217]  arg2_node[0.0010]  arg1_node
none[0.9137]  arg1_node[0.0825]  arg2_node[0.0038]  none
none[0.9756]  arg1_node[0.0234]  arg2_node[0.0010]  none
none[0.9771]  arg1_node[0.0226]  arg2_node[0.0003]  none
none[0.0855]  arg1_node[0.0019]  arg2_node[0.9126]  arg2_node
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9482]  arg1_node[0.0000]  arg2_node[0.0517]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.7174]  arg1_node[0.2819]  arg2_node[0.0007]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9457]  arg1_node[0.0538]  arg2_node[0.0005]  none
none[0.4455]  arg1_node[0.5519]  arg2_node[0.0026]  arg1_node
none[0.9016]  arg1_node[0.0972]  arg2_node[0.0011]  none
none[0.9691]  arg1_node[0.0287]  arg2_node[0.0022]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9990]  arg1_node[0.0001]  arg2_node[0.0009]  none
none[0.0715]  arg1_node[0.0003]  arg2_node[0.9282]  arg2_node
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9681]  arg1_node[0.0001]  arg2_node[0.0318]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9988]  arg1_node[0.0001]  arg2_node[0.0011]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.2269]  arg1_node[0.7689]  arg2_node[0.0042]  arg1_node
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9606]  arg1_node[0.0365]  arg2_node[0.0029]  none
none[0.9963]  arg1_node[0.0030]  arg2_node[0.0007]  none
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9954]  arg1_node[0.0039]  arg2_node[0.0007]  none
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0002]  arg2_node[0.0012]  none
none[0.0552]  arg1_node[0.0003]  arg2_node[0.9445]  arg2_node
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9584]  arg1_node[0.0001]  arg2_node[0.0415]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.0593]  arg1_node[0.9287]  arg2_node[0.0120]  arg1_node
none[0.6785]  arg1_node[0.0098]  arg2_node[0.3117]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.9950]  arg1_node[0.0004]  arg2_node[0.0046]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.3359]  arg1_node[0.0002]  arg2_node[0.6638]  arg2_node
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9805]  arg1_node[0.0000]  arg2_node[0.0195]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.1546]  arg1_node[0.8450]  arg2_node[0.0004]  arg1_node
none[0.9990]  arg1_node[0.0003]  arg2_node[0.0007]  none
none[0.0864]  arg1_node[0.0008]  arg2_node[0.9128]  arg2_node
none[0.9738]  arg1_node[0.0001]  arg2_node[0.0260]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9814]  arg1_node[0.0165]  arg2_node[0.0021]  none
none[0.9972]  arg1_node[0.0009]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9974]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9972]  arg1_node[0.0009]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9884]  arg1_node[0.0095]  arg2_node[0.0020]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.4425]  arg1_node[0.5549]  arg2_node[0.0026]  arg1_node
