wsj_2313.ptree,0,4,0..1,.
wsj_2313.ptree,1,5,1..6,START
wsj_2313.ptree,1,7,9..16,Kaufman
wsj_2313.ptree,1,9,17..18,&
wsj_2313.ptree,1,11,19..24,Broad
wsj_2313.ptree,1,13,25..29,Home
wsj_2313.ptree,1,15,30..35,Corp.
wsj_2313.ptree,1,18,36..40,said
wsj_2313.ptree,1,23,41..43,it
wsj_2313.ptree,1,26,44..50,formed
wsj_2313.ptree,1,29,51..52,a
wsj_2313.ptree,1,33,53..54,$
wsj_2313.ptree,1,35,54..58,53.4
wsj_2313.ptree,1,37,59..66,million
wsj_2313.ptree,1,39,67..74,limited
wsj_2313.ptree,1,41,75..86,partnership
wsj_2313.ptree,1,43,87..97,subsidiary
wsj_2313.ptree,1,47,98..100,to
wsj_2313.ptree,1,50,101..104,buy
wsj_2313.ptree,1,53,105..109,land
wsj_2313.ptree,1,56,110..112,in
wsj_2313.ptree,1,60,113..123,California
wsj_2313.ptree,1,62,124..132,suitable
wsj_2313.ptree,1,65,133..136,for
wsj_2313.ptree,1,68,137..148,residential
wsj_2313.ptree,1,70,149..160,development
wsj_2313.ptree,1,72,160..161,.
wsj_2313.ptree,2,6,164..167,The
wsj_2313.ptree,2,8,168..179,partnership
wsj_2313.ptree,2,10,179..180,COMMA
wsj_2313.ptree,2,13,181..188,Kaufman
wsj_2313.ptree,2,15,189..190,&
wsj_2313.ptree,2,17,191..196,Broad
wsj_2313.ptree,2,19,197..201,Land
wsj_2313.ptree,2,21,202..213,Development
wsj_2313.ptree,2,23,214..221,Venture
wsj_2313.ptree,2,25,222..229,Limited
wsj_2313.ptree,2,27,230..241,Partnership
wsj_2313.ptree,2,29,241..242,COMMA
wsj_2313.ptree,2,32,243..245,is
wsj_2313.ptree,2,36,246..247,a
wsj_2313.ptree,2,38,248..253,50-50
wsj_2313.ptree,2,40,254..259,joint
wsj_2313.ptree,2,42,260..267,venture
wsj_2313.ptree,2,45,268..272,with
wsj_2313.ptree,2,49,273..274,a
wsj_2313.ptree,2,51,275..280,trust
wsj_2313.ptree,2,54,281..288,created
wsj_2313.ptree,2,57,289..291,by
wsj_2313.ptree,2,62,292..305,institutional
wsj_2313.ptree,2,64,306..313,clients
wsj_2313.ptree,2,67,314..316,of
wsj_2313.ptree,2,70,317..324,Heitman
wsj_2313.ptree,2,72,325..333,Advisory
wsj_2313.ptree,2,74,334..339,Corp.
wsj_2313.ptree,2,76,339..340,COMMA
wsj_2313.ptree,2,80,341..342,a
wsj_2313.ptree,2,82,343..347,unit
wsj_2313.ptree,2,85,348..350,of
wsj_2313.ptree,2,89,351..358,Heitman
wsj_2313.ptree,2,91,359..368,Financial
wsj_2313.ptree,2,93,369..374,Corp.
wsj_2313.ptree,2,95,374..375,COMMA
wsj_2313.ptree,2,98,376..377,a
wsj_2313.ptree,2,100,378..382,real
wsj_2313.ptree,2,102,383..389,estate
wsj_2313.ptree,2,104,390..398,advisory
wsj_2313.ptree,2,106,398..399,COMMA
wsj_2313.ptree,2,109,400..410,management
wsj_2313.ptree,2,111,411..414,and
wsj_2313.ptree,2,114,415..426,development
wsj_2313.ptree,2,116,427..434,company
wsj_2313.ptree,2,119,435..439,with
wsj_2313.ptree,2,123,440..447,offices
wsj_2313.ptree,2,126,448..450,in
wsj_2313.ptree,2,129,451..458,Chicago
wsj_2313.ptree,2,131,459..462,and
wsj_2313.ptree,2,135,463..470,Beverly
wsj_2313.ptree,2,137,471..476,Hills
wsj_2313.ptree,2,139,476..477,COMMA
wsj_2313.ptree,2,142,478..484,Calif.
wsj_2313.ptree,2,144,483..484,.
wsj_2313.ptree,3,6,485..492,Kaufman
wsj_2313.ptree,3,8,493..494,&
wsj_2313.ptree,3,10,495..500,Broad
wsj_2313.ptree,3,12,500..501,COMMA
wsj_2313.ptree,3,15,502..503,a
wsj_2313.ptree,3,17,504..508,home
wsj_2313.ptree,3,19,509..517,building
wsj_2313.ptree,3,21,518..525,company
wsj_2313.ptree,3,23,525..526,COMMA
wsj_2313.ptree,3,26,527..535,declined
wsj_2313.ptree,3,30,536..538,to
wsj_2313.ptree,3,33,539..547,identify
wsj_2313.ptree,3,36,548..551,the
wsj_2313.ptree,3,38,552..565,institutional
wsj_2313.ptree,3,40,566..575,investors
wsj_2313.ptree,3,42,575..576,.
wsj_2313.ptree,4,6,579..582,The
wsj_2313.ptree,4,8,583..587,land
wsj_2313.ptree,4,12,588..590,to
wsj_2313.ptree,4,15,591..593,be
wsj_2313.ptree,4,18,594..603,purchased
wsj_2313.ptree,4,21,604..606,by
wsj_2313.ptree,4,24,607..610,the
wsj_2313.ptree,4,26,611..616,joint
wsj_2313.ptree,4,28,617..624,venture
wsj_2313.ptree,4,31,625..628,has
wsj_2313.ptree,4,33,628..631,n't
wsj_2313.ptree,4,36,632..635,yet
wsj_2313.ptree,4,39,636..644,received
wsj_2313.ptree,4,43,645..651,zoning
wsj_2313.ptree,4,45,652..655,and
wsj_2313.ptree,4,49,656..661,other
wsj_2313.ptree,4,51,662..671,approvals
wsj_2313.ptree,4,54,672..680,required
wsj_2313.ptree,4,57,681..684,for
wsj_2313.ptree,4,60,685..696,development
wsj_2313.ptree,4,62,696..697,COMMA
wsj_2313.ptree,4,64,698..701,and
wsj_2313.ptree,4,69,702..706,part
wsj_2313.ptree,4,72,707..709,of
