none[0.7309]  arg1_node[0.2685]  arg2_node[0.0007]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9761]  arg1_node[0.0236]  arg2_node[0.0003]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.2739]  arg1_node[0.7222]  arg2_node[0.0039]  arg1_node
none[0.9691]  arg1_node[0.0287]  arg2_node[0.0022]  none
none[0.9971]  arg1_node[0.0023]  arg2_node[0.0006]  none
none[0.9990]  arg1_node[0.0001]  arg2_node[0.0009]  none
none[0.0715]  arg1_node[0.0003]  arg2_node[0.9282]  arg2_node
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9681]  arg1_node[0.0001]  arg2_node[0.0318]  none
none[0.9988]  arg1_node[0.0001]  arg2_node[0.0011]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0024]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9634]  arg1_node[0.0360]  arg2_node[0.0005]  none
none[0.1029]  arg1_node[0.8967]  arg2_node[0.0004]  arg1_node
none[0.9985]  arg1_node[0.0005]  arg2_node[0.0010]  none
none[0.0644]  arg1_node[0.0010]  arg2_node[0.9346]  arg2_node
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9644]  arg1_node[0.0002]  arg2_node[0.0354]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9712]  arg1_node[0.0260]  arg2_node[0.0028]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.0593]  arg1_node[0.9287]  arg2_node[0.0120]  arg1_node
none[0.6785]  arg1_node[0.0098]  arg2_node[0.3117]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.9950]  arg1_node[0.0004]  arg2_node[0.0046]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0009]  none
none[0.9952]  arg1_node[0.0011]  arg2_node[0.0037]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0009]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0009]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0009]  none
none[0.3359]  arg1_node[0.0002]  arg2_node[0.6638]  arg2_node
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9805]  arg1_node[0.0000]  arg2_node[0.0195]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9528]  arg1_node[0.0464]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9940]  arg1_node[0.0053]  arg2_node[0.0007]  none
none[0.1427]  arg1_node[0.8394]  arg2_node[0.0178]  arg1_node
none[0.6667]  arg1_node[0.0684]  arg2_node[0.2649]  none
none[0.9792]  arg1_node[0.0082]  arg2_node[0.0126]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9979]  arg1_node[0.0009]  arg2_node[0.0013]  none
none[0.9979]  arg1_node[0.0009]  arg2_node[0.0013]  none
none[0.3685]  arg1_node[0.0017]  arg2_node[0.6298]  arg2_node
none[0.9471]  arg1_node[0.0003]  arg2_node[0.0526]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0030]  none
