none[0.9758]  arg1_node[0.0239]  arg2_node[0.0003]  none
none[0.9756]  arg1_node[0.0242]  arg2_node[0.0003]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.5826]  arg1_node[0.4166]  arg2_node[0.0008]  none
none[0.4455]  arg1_node[0.5519]  arg2_node[0.0026]  arg1_node
none[0.9016]  arg1_node[0.0972]  arg2_node[0.0011]  none
none[0.9691]  arg1_node[0.0287]  arg2_node[0.0022]  none
none[0.9971]  arg1_node[0.0023]  arg2_node[0.0006]  none
none[0.9954]  arg1_node[0.0040]  arg2_node[0.0006]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9990]  arg1_node[0.0001]  arg2_node[0.0009]  none
none[0.0715]  arg1_node[0.0003]  arg2_node[0.9282]  arg2_node
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9681]  arg1_node[0.0001]  arg2_node[0.0318]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0001]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0024]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.3758]  arg1_node[0.6234]  arg2_node[0.0007]  arg1_node
none[0.9983]  arg1_node[0.0013]  arg2_node[0.0004]  none
none[0.9982]  arg1_node[0.0013]  arg2_node[0.0004]  none
none[0.9982]  arg1_node[0.0013]  arg2_node[0.0004]  none
none[0.9983]  arg1_node[0.0013]  arg2_node[0.0004]  none
none[0.9983]  arg1_node[0.0013]  arg2_node[0.0004]  none
none[0.9983]  arg1_node[0.0013]  arg2_node[0.0004]  none
none[0.9983]  arg1_node[0.0013]  arg2_node[0.0004]  none
none[0.8226]  arg1_node[0.1770]  arg2_node[0.0004]  none
none[0.8786]  arg1_node[0.1205]  arg2_node[0.0009]  none
none[0.9620]  arg1_node[0.0362]  arg2_node[0.0018]  none
none[0.9991]  arg1_node[0.0002]  arg2_node[0.0007]  none
none[0.0882]  arg1_node[0.0005]  arg2_node[0.9113]  arg2_node
none[0.9981]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9981]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9981]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9745]  arg1_node[0.0001]  arg2_node[0.0255]  none
none[0.9650]  arg1_node[0.0330]  arg2_node[0.0020]  none
none[0.9969]  arg1_node[0.0008]  arg2_node[0.0023]  none
none[0.9650]  arg1_node[0.0330]  arg2_node[0.0020]  none
none[0.9650]  arg1_node[0.0330]  arg2_node[0.0020]  none
none[0.9826]  arg1_node[0.0164]  arg2_node[0.0010]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9827]  arg1_node[0.0163]  arg2_node[0.0010]  none
none[0.9821]  arg1_node[0.0169]  arg2_node[0.0010]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
