none[0.9784]  arg1_node[0.0211]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9756]  arg1_node[0.0241]  arg2_node[0.0003]  none
none[0.6291]  arg1_node[0.3701]  arg2_node[0.0007]  none
none[0.4336]  arg1_node[0.5653]  arg2_node[0.0010]  arg1_node
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.9979]  arg1_node[0.0014]  arg2_node[0.0007]  none
none[0.8549]  arg1_node[0.1446]  arg2_node[0.0006]  none
none[0.9016]  arg1_node[0.0972]  arg2_node[0.0011]  none
none[0.9691]  arg1_node[0.0287]  arg2_node[0.0022]  none
none[0.9954]  arg1_node[0.0040]  arg2_node[0.0006]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9990]  arg1_node[0.0001]  arg2_node[0.0009]  none
none[0.0715]  arg1_node[0.0003]  arg2_node[0.9282]  arg2_node
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9681]  arg1_node[0.0001]  arg2_node[0.0318]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.1103]  arg1_node[0.8893]  arg2_node[0.0004]  arg1_node
none[0.9984]  arg1_node[0.0005]  arg2_node[0.0011]  none
none[0.0579]  arg1_node[0.0008]  arg2_node[0.9413]  arg2_node
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0029]  none
none[0.9603]  arg1_node[0.0002]  arg2_node[0.0395]  none
none[0.9984]  arg1_node[0.0002]  arg2_node[0.0014]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0029]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0029]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0029]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0029]  none
none[0.9727]  arg1_node[0.0241]  arg2_node[0.0032]  none
none[0.9908]  arg1_node[0.0062]  arg2_node[0.0030]  none
none[0.8829]  arg1_node[0.1128]  arg2_node[0.0043]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0029]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0029]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0029]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0030]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0030]  none
none[0.9960]  arg1_node[0.0002]  arg2_node[0.0038]  none
none[0.9960]  arg1_node[0.0002]  arg2_node[0.0038]  none
none[0.0601]  arg1_node[0.9301]  arg2_node[0.0099]  arg1_node
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.7202]  arg1_node[0.0103]  arg2_node[0.2695]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9958]  arg1_node[0.0004]  arg2_node[0.0037]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9984]  arg1_node[0.0009]  arg2_node[0.0007]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.9947]  arg1_node[0.0001]  arg2_node[0.0052]  none
none[0.2977]  arg1_node[0.6865]  arg2_node[0.0157]  arg1_node
none[0.5692]  arg1_node[0.3519]  arg2_node[0.0788]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9716]  arg1_node[0.0242]  arg2_node[0.0042]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9942]  arg1_node[0.0036]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9946]  arg1_node[0.0032]  arg2_node[0.0022]  none
none[0.9928]  arg1_node[0.0043]  arg2_node[0.0029]  none
none[0.9928]  arg1_node[0.0043]  arg2_node[0.0029]  none
none[0.9928]  arg1_node[0.0043]  arg2_node[0.0029]  none
none[0.9928]  arg1_node[0.0043]  arg2_node[0.0029]  none
none[0.9928]  arg1_node[0.0043]  arg2_node[0.0029]  none
none[0.9928]  arg1_node[0.0043]  arg2_node[0.0029]  none
none[0.9928]  arg1_node[0.0043]  arg2_node[0.0029]  none
none[0.9928]  arg1_node[0.0043]  arg2_node[0.0029]  none
none[0.9928]  arg1_node[0.0043]  arg2_node[0.0029]  none
none[0.6161]  arg1_node[0.0167]  arg2_node[0.3672]  none
none[0.9905]  arg1_node[0.0001]  arg2_node[0.0093]  none
none[0.9808]  arg1_node[0.0011]  arg2_node[0.0181]  none
none[0.9905]  arg1_node[0.0001]  arg2_node[0.0093]  none
